,Acetaminophen,Acyclovir,Adalimumab,Albuterol,Alprazolam,Amiodarone,Amlodipine,Amoxicillin,Atorvastatin,Buspirone,Cefdinir,Celecoxib,Ciprofloxacin,Citalopram,Clarithromycin,Clindamycin,Clonidine,Clozaril,Dapagliflozin,Desvenlafaxine,Diazepam,Dicyclomine,Digoxin,Doxepin,Dulaglutide,Empagliflozin,Erythromycin,Escitalopram,Finasteride,Fluconazole,Fluoxetine,Folic Acid,Furosemide,Gabapentin,Hydrochlorothiazide,Hydrocodone,Ibuprofen,Indomethacin,Isosorbide,Isotretinoin,Ivermectin,Ketotifen,Lactulose,Lisinopril,Liothyronine,Loperamide,Losartan,Lovastatin,Melatonin,Memantine,Metformin,Methadone,Methylphenidate,Metoprolol,Mirtazapine,Morphine,Mounjaro,Nabumetone,Naproxen,Niacin,Nifedipine,Olanzapine,Omeprazole,Oseltamivir,Phenazopyridine,Phenelzine,Pimozide,Pregabalin,Promethazine,Propranolol,Quinidine,Sertraline,Sevelamer,Sildenafil,Spironolactone,Sumatriptan,Synthroid,Tamsulosin,Terazosin,Terbinafine,Tramadol,Trazodone,Valacyclovir,Valsartan,Warfarin
Allergy & Adverse Drug Reaction Risk,0.0741,0.1818,0.0606,0.0667,0.2667,0.0345,0.0556,0.2826,0.2143,0.0667,0.0667,0.1250,0.1053,0.0833,0.0870,0.2000,0.1852,0.0556,0.0526,0.2500,0.0392,0.2667,0.0625,0.1885,0.2174,0.2000,0.0678,0.0364,0.4500,0.1176,0.1897,0.2000,0.1905,0.0400,0.4000,0.1000,0.1250,0.1515,0.1875,0.0952,0.2667,0.3529,0.3000,0.1500,0.2500,0.1667,0.0000,0.1739,0.0000,0.1818,0.1667,0.0333,0.2500,0.2500,0.1860,0.1300,0.1852,0.1429,0.1240,0.2745,0.0909,0.3333,0.1111,0.0769,0.3333,0.0286,0.0556,0.1481,0.2917,0.1053,0.1613,0.3333,0.0769,0.1613,0.5556,0.0000,0.2667,0.3000,0.0667,0.4000,0.0526,0.1316,0.1000,0.0455,0.0729
Drug-Drug Interaction Risk,0.5185,0.4545,0.3333,0.7333,0.2667,0.3793,0.2778,0.3478,0.2143,0.7667,0.7333,0.6500,0.7368,0.6389,0.5217,0.5333,0.6667,0.5556,0.4211,0.6250,0.2745,0.6000,0.3125,0.2951,0.2609,0.3333,0.6780,0.5818,0.7000,0.6471,0.5690,0.4000,0.4762,0.5600,0.5333,0.4000,0.3636,0.4242,0.4375,0.7143,0.3333,0.4118,0.5000,0.4750,0.5000,0.1667,0.6250,0.3913,0.6500,0.4545,0.2000,0.4333,0.3864,0.4722,0.4884,0.4200,0.4444,0.5714,0.2066,0.5490,0.2727,0.5119,0.6667,0.4615,0.2667,0.4286,0.2778,0.5185,0.5000,0.6316,0.4516,0.5333,0.7692,0.4839,0.7778,0.4444,0.4000,0.5000,0.7000,0.4000,0.6053,0.6184,0.5000,0.5909,0.3125
Drug-Food Interaction Risk,0.0741,0.0000,0.0000,0.0667,0.0667,0.0345,0.0000,0.0435,0.1429,0.0667,0.1000,0.0250,0.2632,0.0278,0.0435,0.0667,0.1481,0.1111,0.0000,0.0625,0.0588,0.0667,0.0000,0.0902,0.0435,0.0667,0.0508,0.0909,0.0000,0.0000,0.0517,0.2000,0.1429,0.0000,0.0000,0.1500,0.0227,0.0303,0.0625,0.1905,0.0667,0.0000,0.1333,0.0500,0.1250,0.0833,0.1250,0.1304,0.1000,0.0909,0.1000,0.2000,0.0227,0.0278,0.0465,0.0600,0.1481,0.0000,0.1653,0.1176,0.1818,0.0833,0.1111,0.0000,0.0000,0.2000,0.1111,0.0000,0.0833,0.0000,0.0645,0.0667,0.0000,0.0323,0.1111,0.0556,0.1333,0.1000,0.0000,0.0000,0.0789,0.0658,0.0000,0.0455,0.1354
Dosage & Toxicity Risk,0.7778,0.3636,0.0909,0.4667,0.2667,0.4828,0.6667,0.1739,0.7143,0.2000,0.2000,0.0750,0.1579,0.1389,0.2174,0.0000,0.1111,0.3889,0.6316,0.1875,0.0588,0.0000,0.6875,0.1311,0.1304,0.2667,0.0169,0.2182,0.2500,0.4412,0.1552,0.4000,0.1429,0.3600,0.0000,0.1000,0.0568,0.0909,0.1250,0.0000,0.2000,0.0588,0.1667,0.1250,0.3750,0.3333,0.1250,0.6522,0.3000,0.2727,0.5667,0.2000,0.0682,0.0833,0.0930,0.1400,0.1481,0.1429,0.1405,0.0784,0.2727,0.1548,0.3333,0.3077,0.3333,0.0286,0.1111,0.3333,0.1250,0.2368,0.1613,0.0667,0.1538,0.3226,0.1111,0.0000,0.7333,0.2000,0.2333,0.2000,0.2632,0.0921,0.4500,0.0455,0.0833
Renal Impairment Risk,0.1481,0.6364,0.0303,0.1333,0.0667,0.0690,0.0000,0.1739,0.2143,0.1000,0.2667,0.3250,0.0526,0.0556,0.0870,0.0000,0.0370,0.1667,0.2632,0.0625,0.0784,0.0667,0.1875,0.0492,0.0435,0.2000,0.1186,0.0545,0.2000,0.1471,0.0172,0.2000,0.1905,0.2000,0.0667,0.1000,0.2614,0.2727,0.0625,0.0000,0.0667,0.0000,0.0000,0.3250,0.0000,0.0000,0.1250,0.1304,0.0000,0.0909,0.3333,0.0667,0.0227,0.0000,0.0698,0.0600,0.0741,0.2381,0.1983,0.0000,0.0909,0.0000,0.1111,0.3077,0.2000,0.0286,0.0556,0.1481,0.0417,0.0526,0.0323,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.1000,0.0333,0.0000,0.0526,0.0263,0.3500,0.3636,0.0938
Hepatic Impairment Risk,0.7037,0.0000,0.0909,0.0667,0.0667,0.0690,0.2222,0.0435,0.1429,0.1667,0.0667,0.1500,0.0526,0.1111,0.0870,0.1333,0.0370,0.1667,0.1579,0.0000,0.1373,0.0667,0.0000,0.0820,0.0435,0.0000,0.1695,0.0727,0.2500,0.0588,0.0517,0.2000,0.0476,0.0400,0.0667,0.1000,0.1136,0.0303,0.0000,0.2857,0.1333,0.0000,0.0000,0.0500,0.0000,0.0833,0.0000,0.0870,0.1500,0.0909,0.1667,0.1000,0.0227,0.0556,0.0465,0.0400,0.0000,0.0476,0.1074,0.2745,0.1818,0.0357,0.1111,0.0769,0.2000,0.0571,0.0556,0.0370,0.0417,0.0789,0.0323,0.0667,0.0000,0.0645,0.1111,0.0556,0.0000,0.1000,0.0667,0.0000,0.0263,0.0395,0.0000,0.0455,0.0625
Cardiac Impairment Risk,0.0370,0.0000,0.0606,0.6000,0.0667,0.6207,0.2222,0.0000,0.0000,0.0000,0.0667,0.2500,0.1053,0.2222,0.3913,0.0000,0.3333,0.1667,0.1579,0.1250,0.0980,0.2000,0.6250,0.1803,0.0435,0.0667,0.5085,0.1818,0.2500,0.3235,0.2759,0.0000,0.3810,0.0000,0.2000,0.1000,0.2045,0.2121,0.6250,0.0476,0.0667,0.0588,0.1667,0.0750,0.2500,0.5000,0.1250,0.0435,0.0500,0.0909,0.2333,0.1667,0.2045,0.5556,0.0698,0.0900,0.1111,0.2381,0.2397,0.0980,0.3636,0.1071,0.2222,0.0000,0.0000,0.1714,0.1111,0.1481,0.2917,0.6842,0.5484,0.1000,0.0000,0.2258,0.1111,0.3889,0.2000,0.2000,0.2333,0.0000,0.0789,0.2368,0.0000,0.2273,0.0729
Respiratory Impairment Risk,0.0000,0.0000,0.1212,0.2667,0.2000,0.0345,0.0000,0.0217,0.0000,0.1000,0.0000,0.0750,0.0526,0.0000,0.0435,0.1333,0.2222,0.1111,0.0000,0.0625,0.1569,0.0667,0.0625,0.0820,0.0435,0.0000,0.1186,0.0364,0.0000,0.0882,0.0517,0.2000,0.0476,0.3600,0.0667,0.1000,0.0568,0.0606,0.0000,0.0476,0.0667,0.1176,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0500,0.0909,0.1667,0.2000,0.0000,0.1111,0.0465,0.1000,0.1111,0.0476,0.0909,0.0000,0.0909,0.3333,0.0000,0.0000,0.0000,0.0857,0.0556,0.2222,0.3750,0.1316,0.0323,0.0000,0.1538,0.0323,0.1111,0.0000,0.0000,0.1000,0.0333,0.0000,0.5000,0.0526,0.0000,0.0000,0.0208
Bleeding Risk,0.1111,0.0000,0.0000,0.0667,0.0000,0.1379,0.0556,0.0870,0.0000,0.0000,0.1000,0.5750,0.0526,0.1667,0.0870,0.0000,0.0000,0.0556,0.0000,0.1250,0.0000,0.0667,0.0625,0.0410,0.0000,0.0000,0.0847,0.1273,0.0500,0.0882,0.1034,0.0000,0.0476,0.0000,0.0000,0.0000,0.3523,0.5758,0.0000,0.0476,0.1333,0.2941,0.0000,0.0000,0.1250,0.0000,0.0000,0.0435,0.0500,0.0909,0.0000,0.0000,0.0455,0.0278,0.0465,0.0500,0.0000,0.4762,0.2149,0.1373,0.0909,0.0357,0.0000,0.0000,0.0000,0.2571,0.0000,0.0000,0.0833,0.0263,0.0645,0.1000,0.0769,0.0645,0.1111,0.0556,0.0667,0.0000,0.0000,0.0000,0.0263,0.0395,0.2000,0.0000,0.2500
Infection Risk,0.1852,0.3636,0.5758,0.0667,0.0000,0.0000,0.0000,0.1522,0.0000,0.1333,0.3000,0.0000,0.1053,0.0278,0.0870,0.3333,0.0000,0.1111,0.1053,0.0625,0.0000,0.0667,0.0000,0.0574,0.0435,0.1333,0.0339,0.0545,0.1500,0.0588,0.0000,0.2000,0.0476,0.0000,0.0000,0.0500,0.0227,0.0303,0.0625,0.0000,0.1333,0.1765,0.0000,0.0250,0.0000,0.0833,0.0000,0.1739,0.0000,0.1818,0.0333,0.0333,0.0227,0.0278,0.0465,0.0500,0.0370,0.0000,0.0579,0.0000,0.0000,0.0952,0.1111,0.0000,0.0667,0.0000,0.1111,0.0000,0.0833,0.0000,0.0968,0.0667,0.2308,0.1290,0.1111,0.0556,0.0000,0.0000,0.0333,0.0000,0.0263,0.0000,0.2500,0.0000,0.1250
